Phoneme,Activation levels
mʲ,"[0.46957229 0.35748954 0.42685764 0.43352285 0.41753234 0.44475732
 0.44431562 0.16866639 0.3963733  0.49073276 0.43203301 0.3522095
 0.4516848  0.46307269 0.52996104 0.40925496 0.40008322 0.34487463
 0.32460547 0.36726055 0.40043691 0.46022405 0.47921129 0.40942952
 0.3535487  0.6121609  0.40393594 0.50502043 0.46417363 0.32953666
 0.43416294 0.45599772 0.35658748 0.31178068 0.44118297 0.37884619
 0.55014184 0.36898121 0.33606195 0.42186862 0.41603265 0.30027414
 0.50214001 0.42982555 0.43436091 0.39032396 0.3819791  0.42542372
 0.36269858 0.42337636 0.37474497 0.42291225 0.33628132 0.35684069
 0.6463007  0.44618081 0.523281   0.46805737 0.36574314 0.37474541
 0.39017452 0.30781789 0.40428554 0.44195865 0.16451328 0.23448533
 0.36247197 0.4031961  0.22452248 0.50058814]"
t,"[0.46997916 0.36092117 0.425868   0.43449922 0.41742731 0.44487951
 0.44436328 0.17177149 0.3957956  0.49102206 0.43073794 0.35061882
 0.45174291 0.46269184 0.53060319 0.40626703 0.39889873 0.34523125
 0.32295163 0.36780942 0.40011491 0.45947702 0.47918478 0.40811057
 0.35433186 0.61075968 0.40163803 0.50448551 0.46498205 0.32991993
 0.43031914 0.45558202 0.35592709 0.31629989 0.44002397 0.37777019
 0.54855954 0.36787653 0.33424754 0.42204158 0.41579814 0.29845446
 0.50127647 0.42910311 0.43118968 0.38909809 0.38319375 0.42173845
 0.36170995 0.41874926 0.37370718 0.42036588 0.33735169 0.35998812
 0.64611094 0.44399535 0.52388482 0.46800868 0.36538727 0.3745924
 0.38762606 0.30556742 0.40155701 0.4402132  0.16693107 0.23514601
 0.36246347 0.40464175 0.22286648 0.50093776]"
tʲ,"[0.46989963 0.3603198  0.42631112 0.43412048 0.41758291 0.44466773
 0.44464803 0.169819   0.39630332 0.4910681  0.43066893 0.35168057
 0.45177236 0.46283774 0.5304264  0.40755798 0.39965077 0.3449597
 0.32396868 0.36729296 0.40052109 0.46005613 0.47916134 0.40881189
 0.35368071 0.61169155 0.4024607  0.50484412 0.46459746 0.32952393
 0.43316488 0.45577797 0.35652842 0.31429261 0.4409535  0.37860618
 0.54945709 0.36843802 0.33515107 0.42193028 0.41596359 0.29961686
 0.50186682 0.42963048 0.4326668  0.38976202 0.3824725  0.42326751
 0.36228342 0.42225301 0.3742631  0.42042477 0.33643584 0.3594104
 0.64616856 0.44538045 0.52372992 0.46816764 0.36573755 0.37470225
 0.38971963 0.3071005  0.40179892 0.44099764 0.16523041 0.23471774
 0.36236765 0.40463868 0.22390861 0.50088752]"
d,"[0.47001708 0.35999523 0.42641706 0.43414608 0.41758508 0.44479487
 0.44458493 0.16985203 0.39627852 0.49109757 0.43081292 0.35173883
 0.45191902 0.46287011 0.53040023 0.4071002  0.39972233 0.34500342
 0.32373495 0.3672878  0.40057276 0.46000417 0.47908877 0.40876235
 0.3536256  0.61160318 0.4021315  0.50482065 0.46454844 0.329649
 0.43315199 0.45571394 0.35647735 0.31470635 0.44083163 0.37860552
 0.54948456 0.36848103 0.33535057 0.42194964 0.41588584 0.29960451
 0.50185906 0.42966854 0.43229032 0.3898039  0.38238074 0.42276802
 0.36219932 0.42226818 0.37419489 0.42079819 0.33641871 0.35911252
 0.64623251 0.44572678 0.5236887  0.46819262 0.36573092 0.37469932
 0.38947989 0.30722557 0.40213947 0.44117229 0.16527088 0.23474949
 0.36242851 0.40435988 0.22396462 0.50090943]"
dʲ,"[0.46993183 0.3615445  0.42555941 0.43474139 0.4173751  0.44504911
 0.44427657 0.17288455 0.39554489 0.490981   0.43062285 0.34998623
 0.45178225 0.46251058 0.53092911 0.40581363 0.39849024 0.34529019
 0.32216623 0.36812204 0.39991844 0.4592228  0.47912735 0.4077369
 0.35459352 0.61033423 0.4013722  0.50424104 0.46522251 0.33006367
 0.42865561 0.45542082 0.35560197 0.31714305 0.43959301 0.37723188
 0.5480609  0.36757874 0.33362918 0.42216351 0.41557628 0.2976362
 0.50104078 0.42884974 0.43060712 0.38875588 0.38358904 0.42120385
 0.36136977 0.41700757 0.37325949 0.42003193 0.3377735  0.36059303
 0.64613922 0.44316431 0.52421113 0.46794761 0.36517416 0.37455604
 0.38643824 0.30472485 0.40108775 0.43961486 0.16786693 0.23530926
 0.36244224 0.40479572 0.22197841 0.50109574]"
s,"[0.4698148  0.36038636 0.42620071 0.43417386 0.41762912 0.44478577
 0.44455397 0.17028787 0.39616456 0.49100196 0.43070412 0.351322
 0.4517341  0.46281185 0.53039395 0.40765037 0.39948947 0.34500699
 0.32348486 0.36750652 0.40040526 0.45989943 0.4791395  0.40864819
 0.35379125 0.61133797 0.40271267 0.50491665 0.46471696 0.3296348
 0.43220436 0.45568221 0.35624543 0.31430639 0.44071838 0.37900687
 0.54917612 0.36826807 0.33499752 0.42213522 0.41601611 0.29907666
 0.50173646 0.42941859 0.43271907 0.38938338 0.38246127 0.42340938
 0.36211011 0.42100328 0.37427292 0.42043638 0.33667896 0.35951235
 0.6461398  0.44521009 0.52363919 0.46817876 0.36562904 0.37479833
 0.38892205 0.30674022 0.40174999 0.44064295 0.16569289 0.23488305
 0.36241769 0.40452448 0.22351483 0.50077005]"
sʲ,"[0.46990067 0.36086573 0.42593116 0.43443406 0.41748006 0.44492817
 0.44428346 0.17142858 0.39579314 0.49103796 0.43064374 0.35075925
 0.4518893  0.46274322 0.53005057 0.40677925 0.39902705 0.34526494
 0.32295306 0.36776985 0.40012287 0.45960183 0.47910139 0.40832094
 0.35433825 0.61057871 0.40209281 0.50468305 0.46487887 0.32990315
 0.4306886  0.45555797 0.35591946 0.31565718 0.44023827 0.37790006
 0.54857975 0.36807485 0.33449006 0.42204028 0.4157373  0.29851328
 0.50141358 0.42918884 0.43172105 0.38951218 0.38306846 0.42238824
 0.3618755  0.41950951 0.37377436 0.42033769 0.33732051 0.35995418
 0.64619501 0.44425607 0.52341139 0.46810923 0.36544911 0.37468402
 0.38783896 0.30587432 0.40152951 0.44036865 0.16668659 0.23527584
 0.3624163  0.40460192 0.22295548 0.50047505]"
n,"[0.47012681 0.36141037 0.42581667 0.43448373 0.41759129 0.44499698
 0.44433702 0.17134421 0.39583607 0.49119782 0.4302875  0.35088546
 0.45179302 0.46283536 0.5300339  0.40606329 0.39911296 0.34520425
 0.3230439  0.36764003 0.40018806 0.45961449 0.47901109 0.40832414
 0.35425393 0.61062058 0.40153632 0.5049458  0.46489649 0.32989696
 0.430891   0.45558806 0.35603094 0.31646324 0.44032566 0.37896062
 0.54861997 0.3679347  0.33466324 0.4221947  0.41596793 0.2985091
 0.50131761 0.4292308  0.43117508 0.38900636 0.38286671 0.4215243
 0.36177844 0.41932946 0.37397819 0.41973829 0.33728672 0.36047289
 0.64620471 0.44496741 0.52329979 0.46818248 0.36551077 0.37475175
 0.38807869 0.30597948 0.4010358  0.44009215 0.16654811 0.23524328
 0.36249234 0.40503509 0.22297752 0.50050048]"
nʲ,"[0.46972443 0.36067177 0.42623392 0.43422407 0.41759855 0.44477831
 0.44449754 0.17027491 0.39608592 0.49106569 0.43040488 0.35134777
 0.45180817 0.46272249 0.53012317 0.40776368 0.39970155 0.34509778
 0.32384506 0.3674725  0.40046101 0.45989845 0.47907495 0.40866506
 0.35382832 0.61111164 0.40276407 0.50476102 0.46464704 0.32965846
 0.43213473 0.45559654 0.3565448  0.3142645  0.44066766 0.3782736
 0.54904115 0.36842235 0.33536348 0.42212422 0.41582117 0.29930029
 0.50175429 0.4295292  0.43276627 0.38999605 0.38267197 0.42352013
 0.36222016 0.42121154 0.37406145 0.4201945  0.33663324 0.35973587
 0.64609202 0.44504077 0.52352243 0.46814051 0.36562525 0.37480474
 0.38880189 0.30671477 0.40147477 0.44086135 0.16569638 0.23503159
 0.36241618 0.40467939 0.22357492 0.50058568]"
l,"[0.46967026 0.36004501 0.42646209 0.43410341 0.41749597 0.44481462
 0.44442947 0.17017885 0.39605459 0.49093301 0.43085195 0.35144155
 0.45199345 0.46276855 0.53016602 0.40838008 0.39945481 0.34506538
 0.32346399 0.36751087 0.40029843 0.45982299 0.47920514 0.40865525
 0.35399243 0.61140072 0.40324404 0.50471423 0.46452048 0.32958801
 0.43214848 0.45558751 0.35613779 0.31347404 0.44048689 0.37797782
 0.54918811 0.36842103 0.33503696 0.42200122 0.41606911 0.29918241
 0.50177804 0.42950085 0.43331493 0.39017715 0.38268214 0.42426086
 0.36233422 0.42119052 0.37423762 0.42079765 0.33680914 0.35917122
 0.6460868  0.44486963 0.52353369 0.46800828 0.36553834 0.37478561
 0.38869483 0.30669636 0.40201432 0.44161065 0.16565853 0.23489683
 0.36229866 0.40424552 0.22391897 0.50054323]"
