Node Label
O
p
pʲ
b
bʲ
f
fʲ
v
vʲ
m
mʲ
t
tʲ
d
dʲ
s
sʲ
n
nʲ
l
lʲ
r
rʲ
k
kʲ
g
gʲ
x
xʲ
ɣ
ɣʲ
ŋ
ŋʲ
h


















































